ZCTA5CE10,INTPTLAT10,INTPTLON10,STUSPS
"20611","+38.4578134","-076.9751184",MD
"21601","+38.7941980","-076.0810369",MD
"21607","+39.1327137","-075.8542068",MD
"21610","+39.3671153","-076.0724960",MD
"21612","+38.7515127","-076.2754258",MD
"21613","+38.5027890","-076.0788747",MD
"21617","+39.0493575","-076.0445450",MD
"20612","+38.5050595","-076.6772096",MD
"20613","+38.6711682","-076.8053038",MD
"20615","+38.4114330","-076.5488030",MD
"20616","+38.6619481","-077.0984582",MD
"20617","+38.5438412","-076.8525113",MD
"20618","+38.2864380","-076.7830711",MD
"20619","+38.2925310","-076.5276622",MD
"20620","+38.2339176","-076.5289318",MD
"20621","+38.3261496","-076.8010545",MD
"20622","+38.4032056","-076.9383161",MD
"21619","+38.9424469","-076.2657424",MD
"21620","+39.2001765","-076.0979123",MD
"21622","+38.4144653","-076.1592528",MD
"21623","+39.1240349","-075.9667479",MD
"21624","+38.8446734","-076.2698912",MD
"21625","+38.8732125","-075.9960303",MD
"21626","+38.3413588","-076.0983606",MD
"21627","+38.2331142","-076.0464042",MD
"21628","+39.2331736","-075.9220485",MD
"21629","+38.8586716","-075.8250789",MD
"21631","+38.5823914","-075.9389815",MD
"21632","+38.7313980","-075.7724278",MD
"23223","+37.5577672","-077.3788861",VA
"21634","+38.2921635","-076.1991530",MD
"21635","+39.3347913","-075.8466243",MD
"21636","+39.0252915","-075.8028056",MD
"21638","+38.9402014","-076.2076043",MD
"21639","+38.9587324","-075.7824989",MD
"21640","+39.0681413","-075.8209483",MD
"21641","+38.9179186","-075.9402133",MD
"21643","+38.6455822","-075.8698959",MD
"21644","+39.1124281","-075.8735212",MD
"21645","+39.3158186","-075.9561646",MD
"21647","+38.8123530","-076.2834530",MD
"21648","+38.4853564","-076.2393303",MD
"21649","+39.1328931","-075.7706837",MD
"21650","+39.3143764","-075.8170230",MD
"21651","+39.2560846","-075.8515227",MD
"21652","+38.7031883","-076.2741350",MD
"21653","+38.7504640","-076.1797332",MD
"21654","+38.6889013","-076.1260399",MD
"21655","+38.7449676","-075.9127679",MD
"21657","+38.9687408","-075.9861621",MD
"20623","+38.7416148","-076.8424560",MD
"20624","+38.3380796","-076.7334994",MD
"20625","+38.2624754","-076.8474216",MD
"20626","+38.2304668","-076.7705957",MD
"20628","+38.1529982","-076.3398589",MD
"20629","+38.3364536","-076.4503622",MD
"20630","+38.1642773","-076.4757738",MD
"20632","+38.4327994","-076.9579926",MD
"20634","+38.2815035","-076.5247535",MD
"20636","+38.3521408","-076.5671865",MD
"23224","+37.4976025","-077.4674294",VA
"23225","+37.5186235","-077.5129368",VA
"23226","+37.5799121","-077.5233466",VA
"23227","+37.6118118","-077.4358635",VA
"23228","+37.6266171","-077.4928340",VA
"23229","+37.5867719","-077.5741650",VA
"23230","+37.5866388","-077.4891223",VA
"21813","+38.4242052","-075.1616874",MD
"21814","+38.2930762","-075.8992961",MD
"21817","+37.9810248","-075.8360694",MD
"21821","+38.1645945","-075.9166595",MD
"21822","+38.2808127","-075.6360842",MD
"21824","+37.9807744","-076.0365460",MD
"21826","+38.3169503","-075.6264634",MD
"21829","+38.0976594","-075.3714559",MD
"21830","+38.3973628","-075.7347684",MD
"21835","+38.5318874","-075.9484585",MD
"21837","+38.4545856","-075.7662936",MD
"21838","+38.0179048","-075.7379202",MD
"21840","+38.2487356","-075.9000090",MD
"21841","+38.2469442","-075.2958060",MD
"21842","+38.3505358","-075.1288798",MD
"21849","+38.3773478","-075.4621177",MD
"21850","+38.3617305","-075.3970777",MD
"21851","+38.0798694","-075.5424444",MD
"21853","+38.2035399","-075.7208873",MD
"21856","+38.3307295","-075.7948849",MD
"21861","+38.5364401","-075.7273519",MD
"21862","+38.3980538","-075.2261421",MD
"21863","+38.1879128","-075.3990414",MD
"21864","+38.0315721","-075.4058124",MD
"21865","+38.2873380","-075.8411794",MD
"21866","+37.9671275","-076.0213655",MD
"21867","+38.1096653","-075.7936777",MD
"21869","+38.4382266","-075.8962678",MD
"21871","+38.0937850","-075.7356876",MD
"21872","+38.4151309","-075.2992602",MD
"23231","+37.4422038","-077.3149313",VA
"23233","+37.6464315","-077.6242350",VA
"23234","+37.4514229","-077.4706596",VA
"23235","+37.5145703","-077.5647584",VA
"23236","+37.4758100","-077.5852849",VA
"23237","+37.4008781","-077.4490543",VA
"23238","+37.5956122","-077.6476056",VA
"21874","+38.3912832","-075.3519646",MD
"21875","+38.4399986","-075.5446952",MD
"21890","+38.1573168","-075.7043434",MD
"21901","+39.5854034","-075.9589639",MD
"21902","+39.5519707","-076.0631474",MD
"21903","+39.5734384","-076.0390619",MD
"21904","+39.6154896","-076.0679877",MD
"21911","+39.6952961","-076.0322761",MD
"21913","+39.4045089","-075.8676095",MD
"21914","+39.5723444","-075.9786874",MD
"21915","+39.4961474","-075.8481678",MD
"21916","+39.6412883","-075.8615620",MD
"21917","+39.6716320","-076.0973973",MD
"21918","+39.6781944","-076.1758883",MD
"21919","+39.4185535","-075.9337090",MD
"21920","+39.6574976","-075.8283258",MD
"21921","+39.6271448","-075.8598906",MD
"21930","+39.3756595","-075.8879926",MD
"20783","+38.9970672","-076.9667831",MD
"20784","+38.9505489","-076.8917198",MD
"23250","+37.5046602","-077.3208596",VA
"23294","+37.6312809","-077.5425342",VA
"23301","+37.6812586","-075.6334638",VA
"23302","+37.8656700","-075.5209149",VA
"23303","+37.9113546","-075.5049716",VA
"23304","+36.9961346","-076.5721070",VA
"22309","+38.7190634","-077.1071042",VA
"22310","+38.7846558","-077.1221815",VA
"22311","+38.8339909","-077.1255106",VA
"22312","+38.8157890","-077.1542714",VA
"22314","+38.8068534","-077.0563741",VA
"22315","+38.7583351","-077.1512016",VA
"22401","+38.2992718","-077.4866583",VA
"22405","+38.3136039","-077.4039276",VA
"22406","+38.3997214","-077.5467295",VA
"20105","+38.9531689","-077.6035937",VA
"20106","+38.6993465","-078.0022087",VA
"23824","+37.0855807","-077.9721799",VA
"23827","+36.6123130","-077.1968785",VA
"23828","+36.5808535","-077.2669334",VA
"23829","+36.7326703","-077.2173507",VA
"23830","+37.0169609","-077.3950567",VA
"22407","+38.2834738","-077.5756842",VA
"22408","+38.2202711","-077.4436533",VA
"22427","+38.0931457","-077.2711221",VA
"22432","+37.8695242","-076.3423471",VA
"24137","+36.9275521","-079.6575042",VA
"24138","+37.0428959","-080.3063329",VA
"24139","+37.0131660","-079.4810726",VA
"24141","+37.0954468","-080.5704770",VA
"24142","+37.1379554","-080.5509012",VA
"24147","+37.4015099","-080.8236261",VA
"24149","+37.0185816","-080.4335808",VA
"24150","+37.3807076","-080.6255572",VA
"24151","+36.9540215","-079.8652000",VA
"24153","+37.3025065","-080.1143247",VA
"24161","+36.9780846","-079.5291131",VA
"24162","+37.1294494","-080.2497147",VA
"24165","+36.5848971","-080.0519238",VA
"24167","+37.2552586","-080.7245357",VA
"23831","+37.3462529","-077.4505657",VA
"23832","+37.3878505","-077.5921083",VA
"23833","+37.2094286","-077.6689167",VA
"23834","+37.2905835","-077.4041118",VA
"23836","+37.3452265","-077.3467425",VA
"20109","+38.7936407","-077.5310242",VA
"24168","+36.7347528","-079.9464560",VA
"24174","+37.3517157","-079.6730947",VA
"24175","+37.4279964","-079.9396875",VA
"24176","+37.0055454","-079.6924954",VA
"24179","+37.2855646","-079.8098351",VA
"24184","+37.0885426","-079.7792428",VA
"24185","+36.8115922","-080.2692378",VA
"24201","+36.6107145","-082.1700495",VA
"24202","+36.6563096","-082.2122194",VA
"24210","+36.7689352","-082.0275306",VA
"24211","+36.6540880","-081.9550695",VA
"24217","+37.0848418","-082.1785403",VA
"24219","+36.8492658","-082.7585324",VA
"24220","+37.1372980","-082.2401816",VA
"24221","+36.6253122","-082.9987598",VA
"24224","+36.8614307","-082.2717544",VA
"24225","+36.9917152","-082.1418508",VA
"24226","+37.1369020","-082.3229888",VA
"24228","+37.1668622","-082.4562569",VA
"24230","+36.9562986","-082.4544198",VA
"24236","+36.6523621","-081.7476632",VA
"24237","+37.0361589","-082.2619430",VA
"24239","+37.1182088","-082.1474057",VA
"24243","+36.7730578","-082.9260157",VA
"24244","+36.7239578","-082.7820740",VA
"24245","+36.8380106","-082.5128020",VA
"23651","+37.0057106","-076.3053891",VA
"23661","+37.0093013","-076.3861765",VA
"23662","+37.1333191","-076.3530270",VA
"23663","+37.0322920","-076.3136460",VA
"23837","+36.7495828","-077.0841524",VA
"23838","+37.3192097","-077.6331662",VA
"23839","+37.0798153","-076.9206176",VA
"23840","+37.0653246","-077.6660085",VA
"23841","+37.0480417","-077.5439370",VA
"23842","+37.1316851","-077.2219489",VA
"23843","+36.8451501","-077.8224470",VA
"23844","+36.6800321","-077.3265251",VA
"23845","+36.5788225","-077.9775610",VA
"23846","+37.0666025","-076.8340195",VA
"24246","+36.8665047","-082.7455733",VA
"24248","+36.6257105","-083.5144247",VA
"24250","+36.7567329","-082.5965255",VA
"24251","+36.6571470","-082.5994144",VA
"24256","+37.2159002","-082.2867410",VA
"24258","+36.6453719","-082.4220377",VA
"24260","+37.0307509","-082.0150223",VA
"24263","+36.6682264","-083.1473986",VA
"24265","+36.8326628","-082.9464606",VA
"24266","+36.8587535","-082.1209648",VA
"24269","+37.0727716","-082.3806793",VA
"24270","+36.7296102","-082.2506732",VA
"24271","+36.7488134","-082.4171872",VA
"24272","+37.0139069","-082.3147782",VA
"24273","+36.9647011","-082.6614797",VA
"24277","+36.7447924","-083.0385184",VA
"24279","+37.0777354","-082.6273934",VA
"24280","+36.9560770","-081.9233146",VA
"24281","+36.6373227","-083.3402258",VA
"24282","+36.8187612","-083.0543104",VA
"24283","+36.9397821","-082.3329394",VA
"24290","+36.6127007","-082.5679402",VA
"24292","+36.6176911","-081.5781359",VA
"24293","+37.0043445","-082.5508145",VA
"24301","+37.0650303","-080.8182667",VA
"24311","+36.8742025","-081.4220038",VA
"24312","+36.8330145","-080.8870182",VA
"24313","+36.9095351","-080.8199408",VA
"24314","+37.1572441","-081.2104137",VA
"24315","+37.1336312","-081.0632290",VA
"24316","+36.9557053","-081.6689881",VA
"24317","+36.6011657","-080.6713475",VA
"24318","+36.9959580","-081.3871242",VA
"24319","+36.7437634","-081.6458323",VA
"24322","+36.7990141","-081.1136621",VA
"24323","+36.8662541","-081.1863961",VA
"24324","+36.9741119","-080.7764783",VA
"24325","+36.7954135","-080.6016025",VA
"24326","+36.7298448","-081.2021993",VA
"23664","+37.0783744","-076.2898246",VA
"23665","+37.0839178","-076.3601253",VA
"23666","+37.0581410","-076.4066461",VA
"23847","+36.6702579","-077.5502530",VA
"23850","+37.1997097","-077.8008271",VA
"23851","+36.6558478","-076.9508406",VA
"23856","+36.7840094","-077.7023473",VA
"23860","+37.2747493","-077.2274072",VA
"21157","+39.5485690","-076.9835578",MD
"21158","+39.6537173","-077.0351268",MD
"21160","+39.7002496","-076.3065430",MD
"21161","+39.6599027","-076.5650601",MD
"21162","+39.3901158","-076.4055821",MD
"21163","+39.3375267","-076.8482467",MD
"21201","+39.2948203","-076.6222198",MD
"21202","+39.2965258","-076.6070163",MD
"21204","+39.4022677","-076.6322953",MD
"24328","+36.6453563","-080.7008362",VA
"24330","+36.7257978","-081.0206877",VA
"24340","+36.7532515","-081.7679039",VA
"24343","+36.7704523","-080.6909202",VA
"24347","+36.9608713","-080.6524709",VA
"24350","+36.8133007","-080.9941822",VA
"24352","+36.7090113","-080.5311932",VA
"24354","+36.8293570","-081.5397023",VA
"24360","+36.9332755","-080.8975650",VA
"24361","+36.7673358","-081.8449599",VA
"24366","+37.2594823","-081.1185831",VA
"24368","+36.8880295","-081.3024918",VA
"23669","+37.0503110","-076.3428140",VA
"23690","+37.2224005","-076.5171038",VA
"23691","+37.2552532","-076.5494180",VA
"23692","+37.1924375","-076.4635820",VA
"23693","+37.1230658","-076.4471287",VA
"23866","+36.9236757","-076.8624013",VA
"23867","+36.8166017","-077.4816240",VA
"23868","+36.7220086","-077.8173806",VA
"23872","+36.9877445","-077.7185661",VA
"21205","+39.3022903","-076.5644838",MD
"21206","+39.3384283","-076.5388766",MD
"21207","+39.3241672","-076.7194841",MD
"21208","+39.3864250","-076.7211463",MD
"21209","+39.3731913","-076.6700026",MD
"21210","+39.3591561","-076.6326854",MD
"21211","+39.3298170","-076.6394081",MD
"21212","+39.3685612","-076.6148978",MD
"21678","+39.3091625","-076.0987932",MD
"21679","+38.9204782","-076.0941153",MD
"23696","+37.1891188","-076.4210785",VA
"23701","+36.8137080","-076.3703400",VA
"23702","+36.7990474","-076.3289773",VA
"23703","+36.8933388","-076.3732917",VA
"23874","+36.6089556","-077.0857129",VA
"23875","+37.2213954","-077.2704967",VA
"23876","+36.9557526","-077.8336100",VA
"23878","+36.8247715","-077.0254321",VA
"21701","+39.4435960","-077.3328943",MD
"21702","+39.4791375","-077.4429856",MD
"21703","+39.3670313","-077.4734816",MD
"21704","+39.3548835","-077.3759023",MD
"21705","+39.4088600","-077.4100075",MD
"21710","+39.3079958","-077.4320085",MD
"21711","+39.6683956","-078.0195689",MD
"21713","+39.5296865","-077.6756778",MD
"21714","+39.4192972","-077.5044184",MD
"21716","+39.3144530","-077.6200192",MD
"21717","+39.3386679","-077.4370405",MD
"21718","+39.3934968","-077.6277883",MD
"21719","+39.7079560","-077.4942279",MD
"21722","+39.6620839","-077.9198471",MD
"23704","+36.8241875","-076.3101608",VA
"23707","+36.8423008","-076.3396284",VA
"23708","+36.8495287","-076.3051576",VA
"23709","+36.8127515","-076.3054575",VA
"23801","+37.2353823","-077.3352764",VA
"21723","+39.3291066","-077.0026109",MD
"21727","+39.6886152","-077.3292810",MD
"21733","+39.5493032","-077.7584871",MD
"21734","+39.6078172","-077.7078354",MD
"21737","+39.2482599","-077.0271246",MD
"21738","+39.2798437","-077.0267063",MD
"21740","+39.6319007","-077.7438858",MD
"21742","+39.6782193","-077.6527202",MD
"21746","+39.5650640","-077.7114673",MD
"21750","+39.6622623","-078.2359748",MD
"23803","+37.2092772","-077.4972384",VA
"23805","+37.1385441","-077.4034749",VA
"23806","+37.2386131","-077.4182385",VA
"23821","+36.8832000","-077.9129439",VA
"21754","+39.3321139","-077.3162130",MD
"21755","+39.3596546","-077.5681276",MD
"21756","+39.4627687","-077.7040403",MD
"21757","+39.5938612","-077.2581391",MD
"21758","+39.3532047","-077.6568133",MD
"21762","+39.4808299","-077.2470888",MD
"21766","+39.6704707","-078.3878895",MD
"21767","+39.6971316","-077.7474728",MD
"21769","+39.4424641","-077.5689083",MD
"21770","+39.3501894","-077.2562401",MD
"20733","+38.8056527","-076.5322289",MD
"23930","+37.1710031","-078.0996114",VA
"23934","+37.1771518","-078.6267052",VA
"23936","+37.5325184","-078.4792442",VA
"23937","+36.9451415","-078.5125030",VA
"20653","+38.2371529","-076.4286515",MD
"20657","+38.3797571","-076.4428828",MD
"20658","+38.5605275","-077.1605937",MD
"20659","+38.4186666","-076.7324230",MD
"20660","+38.3702194","-076.7066265",MD
