ZCTA5CE10,ct_06:00,ct_06:30,ct_07:00,ct_07:30,ct_08:00,ct_08:30,ct_09:00,ct_09:30,zhvi_sfh,zhvi_mfh,zhvi_1bd,zhvi_2bd,zhvi_3bd,zhvi_4bd,zhvi_5bd,zri_all,venue_count
22046,17.519799999999996,17.666800000000006,18.1034,20.3402,23.1532,22.4934,20.5236,20.11,858416.0,361337.0,267481.0,413566.0,772605.0,913295.0,1269365.0,2236.0,21
22191,44.7368,52.0366,57.6066,58.1732,53.0634,45.8434,38.9766,38.6436,345014.0,317309.0,286062.0,296952.0,326075.0,400691.0,428234.0,1857.0,2
22192,40.1902,50.71659999999999,56.2402,57.4768,52.8434,45.4434,39.3032,38.2934,390069.0,211182.0,158565.0,224435.0,332340.0,482410.0,545973.0,1943.0,22
22201,9.82,10.03,10.3764,10.7636,10.94,11.2666,11.3434,11.153199999999998,1134819.0,465088.0,410648.0,652142.0,1031217.0,1256961.0,1685766.0,2209.0,46
22202,0.5466000000000001,0.5635999999999999,0.583,0.6102000000000001,0.6602,0.6766,0.6934000000000001,0.6902000000000001,935724.0,513925.0,396223.0,624587.0,870450.0,1068722.0,1266142.0,2343.0,92
22203,11.723400000000002,11.8868,12.5036,14.1398,15.2434,15.8868,14.48,13.25,857855.0,426595.0,375520.0,609826.0,833796.0,908908.0,1128486.0,2302.0,5
22204,9.3532,9.4934,10.0766,10.5702,10.8032,11.286399999999995,11.28,11.1168,694907.0,302324.0,277475.0,425879.0,691263.0,825584.0,885425.0,2065.0,20
20016,17.6468,18.009999999999994,18.3,19.2,21.6268,23.3632,22.8634,21.6,1323591.0,442276.0,362607.0,640353.0,1127193.0,1399884.0,2021531.0,2582.0,18
20017,18.4966,20.9868,22.3766,25.2034,25.7068,27.2166,26.25,25.51,605248.0,383506.0,289908.0,477195.0,584735.0,718904.0,835376.0,1916.0,12
20018,17.6966,19.9732,22.1134,24.2232,24.18,26.4398,26.4598,23.7966,611766.0,335473.0,288481.0,496170.0,585198.0,677565.0,740374.0,2225.0,19
20019,18.0032,21.15,23.1568,25.8868,26.0134,26.7202,24.07,21.7202,383252.0,171725.0,138069.0,353821.0,389638.0,433059.0,465036.0,1734.0,5
20036,16.753400000000006,17.043200000000002,17.3966,18.3266,18.986600000000006,20.6,23.2034,23.68,856100.0,387961.0,403749.0,629783.0,1407297.0,2032958.0,2180377.0,2271.0,100
